"county","unemp_rate_mar_2020","industry","job_count"
"Bladen County",4.6,"wholesale_trade",162
"Bladen County",4.6,"retail_trade",846
"Bladen County",4.6,"transportation_warehousing",757
"Bladen County",4.6,"information",NA
"Bladen County",4.6,"finance_insurance",102
"Bladen County",4.6,"real_estate_rental_leasing",34
"Bladen County",4.6,"professional_technical_services",125
"Bladen County",4.6,"mgt_of_companies_enterprises",NA
"Bladen County",4.6,"administrative_waste_services",918
"Bladen County",4.6,"educational_services",761
"Bladen County",4.6,"health_care_social_assistance",828
"Bladen County",4.6,"arts_entertain_recreation",11
"Bladen County",4.6,"accommodation_food_services",528
"Bladen County",4.6,"other_services_ex__public_admin",119
"Bladen County",4.6,"public_admin",923
"Bladen County",4.6,"unclassified",0
"Brunswick County",4.8,"all_industries",32692
"Brunswick County",4.8,"agriculture_forestry_fishing_hunting",175
"Brunswick County",4.8,"mining",NA
"Brunswick County",4.8,"utilities",1120
"Brunswick County",4.8,"construction",2386
"Brunswick County",4.8,"manufacturing",1422
"Brunswick County",4.8,"wholesale_trade",570
"Brunswick County",4.8,"retail_trade",5728
"Brunswick County",4.8,"transportation_warehousing",900
"Brunswick County",4.8,"information",321
"Brunswick County",4.8,"finance_insurance",544
"Brunswick County",4.8,"real_estate_rental_leasing",842
"Brunswick County",4.8,"professional_technical_services",1061
"Brunswick County",4.8,"mgt_of_companies_enterprises",NA
"Brunswick County",4.8,"administrative_waste_services",1727
"Brunswick County",4.8,"educational_services",2403
"Brunswick County",4.8,"health_care_social_assistance",4440
"Brunswick County",4.8,"arts_entertain_recreation",1369
"Brunswick County",4.8,"accommodation_food_services",4350
"Brunswick County",4.8,"other_services_ex__public_admin",802
"Brunswick County",4.8,"public_admin",2510
"Brunswick County",4.8,"unclassified",0
"Buncombe County",2.9,"all_industries",122520
"Buncombe County",2.9,"agriculture_forestry_fishing_hunting",281
"Buncombe County",2.9,"mining",86
"Buncombe County",2.9,"utilities",534
"Buncombe County",2.9,"construction",6119
"Buncombe County",2.9,"manufacturing",13166
"Buncombe County",2.9,"wholesale_trade",3009
"Buncombe County",2.9,"retail_trade",15770
"Buncombe County",2.9,"transportation_warehousing",3746
"Buncombe County",2.9,"information",1323
"Buncombe County",2.9,"finance_insurance",2535
"Buncombe County",2.9,"real_estate_rental_leasing",2000
"Buncombe County",2.9,"professional_technical_services",5566
"Buncombe County",2.9,"mgt_of_companies_enterprises",974
"Buncombe County",2.9,"administrative_waste_services",6212
"Buncombe County",2.9,"educational_services",8382
"Buncombe County",2.9,"health_care_social_assistance",25111
"Buncombe County",2.9,"arts_entertain_recreation",2524
"Buncombe County",2.9,"accommodation_food_services",14283
"Buncombe County",2.9,"other_services_ex__public_admin",4741
"Buncombe County",2.9,"public_admin",6162
"Buncombe County",2.9,"unclassified",0
"Burke County",3.2,"all_industries",28502
"Burke County",3.2,"agriculture_forestry_fishing_hunting",NA
"Burke County",3.2,"mining",NA
"Burke County",3.2,"utilities",NA
"Burke County",3.2,"construction",638
"Burke County",3.2,"manufacturing",6798
"Burke County",3.2,"wholesale_trade",424
"Burke County",3.2,"retail_trade",2936
"Burke County",3.2,"transportation_warehousing",312
"Burke County",3.2,"information",70
"Burke County",3.2,"finance_insurance",344
"Burke County",3.2,"real_estate_rental_leasing",138
"Burke County",3.2,"professional_technical_services",358
"Burke County",3.2,"mgt_of_companies_enterprises",54
"Burke County",3.2,"administrative_waste_services",1902
"Burke County",3.2,"educational_services",2051
"Burke County",3.2,"health_care_social_assistance",7103
"Burke County",3.2,"arts_entertain_recreation",105
"Burke County",3.2,"accommodation_food_services",2369
"Burke County",3.2,"other_services_ex__public_admin",491
"Burke County",3.2,"public_admin",2250
"Burke County",3.2,"unclassified",0
"Cabarrus County",3.2,"all_industries",73986
"Cabarrus County",3.2,"agriculture_forestry_fishing_hunting",101
"Cabarrus County",3.2,"mining",75
"Cabarrus County",3.2,"utilities",131
"Cabarrus County",3.2,"construction",4531
"Cabarrus County",3.2,"manufacturing",5205
"Cabarrus County",3.2,"wholesale_trade",4580
"Cabarrus County",3.2,"retail_trade",11525
"Cabarrus County",3.2,"transportation_warehousing",5414
"Cabarrus County",3.2,"information",702
"Cabarrus County",3.2,"finance_insurance",1003
"Cabarrus County",3.2,"real_estate_rental_leasing",997
"Cabarrus County",3.2,"professional_technical_services",2309
"Cabarrus County",3.2,"mgt_of_companies_enterprises",1035
"Cabarrus County",3.2,"administrative_waste_services",3747
"Cabarrus County",3.2,"educational_services",5760
"Cabarrus County",3.2,"health_care_social_assistance",9721
"Cabarrus County",3.2,"arts_entertain_recreation",2604
"Cabarrus County",3.2,"accommodation_food_services",8866
"Cabarrus County",3.2,"other_services_ex__public_admin",2026
"Cabarrus County",3.2,"public_admin",3657
"Cabarrus County",3.2,"unclassified",0
"Caldwell County",3.5,"all_industries",24806
"Caldwell County",3.5,"agriculture_forestry_fishing_hunting",NA
"Caldwell County",3.5,"mining",NA
"Caldwell County",3.5,"utilities",119
"Caldwell County",3.5,"construction",819
"Caldwell County",3.5,"manufacturing",5881
"Caldwell County",3.5,"wholesale_trade",1814
"Caldwell County",3.5,"retail_trade",2771
"Caldwell County",3.5,"transportation_warehousing",1160
"Caldwell County",3.5,"information",216
"Caldwell County",3.5,"finance_insurance",367
"Caldwell County",3.5,"real_estate_rental_leasing",121
"Caldwell County",3.5,"professional_technical_services",494
"Caldwell County",3.5,"mgt_of_companies_enterprises",320
"Caldwell County",3.5,"administrative_waste_services",915
"Caldwell County",3.5,"educational_services",2123
"Caldwell County",3.5,"health_care_social_assistance",3597
"Caldwell County",3.5,"arts_entertain_recreation",150
"Caldwell County",3.5,"accommodation_food_services",1823
"Caldwell County",3.5,"other_services_ex__public_admin",549
"Caldwell County",3.5,"public_admin",1458
"Caldwell County",3.5,"unclassified",0
"Camden County",3,"all_industries",1172
"Camden County",3,"agriculture_forestry_fishing_hunting",94
"Camden County",3,"mining",0
"Camden County",3,"utilities",NA
"Camden County",3,"construction",83
"Camden County",3,"manufacturing",37
"Camden County",3,"wholesale_trade",18
"Camden County",3,"retail_trade",123
"Camden County",3,"transportation_warehousing",43
"Camden County",3,"information",NA
"Camden County",3,"finance_insurance",24
"Camden County",3,"real_estate_rental_leasing",7
"Camden County",3,"professional_technical_services",43
"Camden County",3,"mgt_of_companies_enterprises",0
"Camden County",3,"administrative_waste_services",52
"Camden County",3,"educational_services",270
"Camden County",3,"health_care_social_assistance",82
"Camden County",3,"arts_entertain_recreation",NA
"Camden County",3,"accommodation_food_services",98
"Camden County",3,"other_services_ex__public_admin",38
"Camden County",3,"public_admin",141
"Camden County",3,"unclassified",0
"Carteret County",3.2,"all_industries",22655
"Carteret County",3.2,"agriculture_forestry_fishing_hunting",121
"Carteret County",3.2,"mining",NA
"Carteret County",3.2,"utilities",135
"Carteret County",3.2,"construction",1479
"Carteret County",3.2,"manufacturing",912
"Carteret County",3.2,"wholesale_trade",368
"Carteret County",3.2,"retail_trade",4341
"Carteret County",3.2,"transportation_warehousing",358
"Carteret County",3.2,"information",193
"Carteret County",3.2,"finance_insurance",496
"Carteret County",3.2,"real_estate_rental_leasing",514
"Carteret County",3.2,"professional_technical_services",706
"Carteret County",3.2,"mgt_of_companies_enterprises",NA
"Carteret County",3.2,"administrative_waste_services",1084
"Carteret County",3.2,"educational_services",1518
"Carteret County",3.2,"health_care_social_assistance",3283
"Carteret County",3.2,"arts_entertain_recreation",638
"Carteret County",3.2,"accommodation_food_services",3847
"Carteret County",3.2,"other_services_ex__public_admin",755
"Carteret County",3.2,"public_admin",1917
"Carteret County",3.2,"unclassified",0
"Caswell County",3.8,"all_industries",2808
"Caswell County",3.8,"agriculture_forestry_fishing_hunting",92
"Caswell County",3.8,"mining",NA
"Caswell County",3.8,"utilities",0
"Caswell County",3.8,"construction",266
"Caswell County",3.8,"manufacturing",191
"Caswell County",3.8,"wholesale_trade",22
"Caswell County",3.8,"retail_trade",273
"Caswell County",3.8,"transportation_warehousing",54
"Caswell County",3.8,"information",NA
"Caswell County",3.8,"finance_insurance",56
"Caswell County",3.8,"real_estate_rental_leasing",5
"Caswell County",3.8,"professional_technical_services",52
"Caswell County",3.8,"mgt_of_companies_enterprises",0
"Caswell County",3.8,"administrative_waste_services",NA
"Caswell County",3.8,"educational_services",433
"Caswell County",3.8,"health_care_social_assistance",382
"Caswell County",3.8,"arts_entertain_recreation",NA
