county,year,population
Watauga,2020,54483
Watauga,2032,57756
Watauga,2035,58532
Watauga,2043,61666
Watauga,2045,62434
Watauga,2047,63207
Wayne,2011,123190
Wayne,2013,122793
Wayne,2016,119858
Wayne,2021,117662
Wayne,2025,117301
Wayne,2029,117124
Wayne,2049,116965
Wilkes,2014,67712
Wilkes,2019,66189
Wilkes,2020,65983
Wilkes,2022,65698
Wilkes,2023,65600
Wilkes,2028,65139
Wilkes,2037,64584
Wilkes,2039,64537
Wilkes,2040,64527
Wilkes,2044,64590
Wilkes,2050,65040
Wilson,2025,76495
Wilson,2032,75832
Wilson,2035,76201
Wilson,2043,78123
Wilson,2049,80029
Wilson,2050,80365
Yadkin,2021,37164
Yadkin,2028,37007
Yadkin,2037,36993
Yadkin,2040,36993
Yadkin,2047,36992
Yadkin,2048,36992
Yancey,2011,17809
Yancey,2027,18375
Yancey,2043,18116
Yancey,2048,18039
State,2015,9968747
State,2025,11038826
State,2026,11154686
State,2038,12579058
Alamance,2011,152100
Alamance,2015,157162
Alamance,2020,171753
Alamance,2028,188874
Alamance,2039,209767
Alamance,2040,211669
Alexander,2011,36968
Alexander,2020,36464
Alexander,2022,36429
Alexander,2024,36625
Alexander,2027,36718
Alexander,2044,36746
Alleghany,2010,11120
Alleghany,2038,11315
Alleghany,2039,11329
Alleghany,2044,11385
Alleghany,2050,11453
Anson,2030,21185
Anson,2047,21092
Ashe,2017,26401
Ashe,2019,26645
Ashe,2046,26814
Ashe,2047,26820
Ashe,2048,26827
Avery,2011,17894
Avery,2017,17736
Avery,2021,17951
Avery,2025,17950
Avery,2028,17952
Avery,2037,17950
Avery,2038,17952
Avery,2048,17951
Avery,2050,17952
Beaufort,2012,47211
Beaufort,2015,46147
Beaufort,2017,45440
Beaufort,2024,44090
Bertie,2010,21197
Bertie,2020,17905
Bertie,2027,15928
Bertie,2046,12479
Bladen,2010,35038
Bladen,2028,28751
Bladen,2032,28702
Bladen,2037,28771
Brunswick,2014,115479
Brunswick,2017,124921
Brunswick,2022,150848
Brunswick,2023,157537
Brunswick,2039,222546
Brunswick,2043,236266
Brunswick,2045,243090
Buncombe,2013,249325
Buncombe,2014,252384
Buncombe,2020,269797
Buncombe,2037,317949
Buncombe,2047,347009
Burke,2015,87316
Burke,2018,88040
Burke,2032,87745
Burke,2035,87687
Burke,2037,87657
Burke,2040,87609
Burke,2042,87577
