"county","year","population"
"Orange County",2043,179722
"Pamlico County",2011,13116
"Pamlico County",2025,12191
"Pamlico County",2026,12158
"Pamlico County",2031,11981
"Pamlico County",2033,11910
"Pamlico County",2044,11522
"Pasquotank County",2012,40066
"Pasquotank County",2024,40990
"Pasquotank County",2027,41202
"Pasquotank County",2044,41470
"Pasquotank County",2049,41477
"Pender County",2020,60441
"Pender County",2024,68752
"Perquimans County",2027,13948
"Perquimans County",2036,14147
"Person County",2012,38823
"Person County",2032,40244
"Person County",2039,40464
"Person County",2047,40601
"Pitt County",2029,176794
"Pitt County",2035,187081
"Pitt County",2038,193117
"Pitt County",2042,201616
"Pitt County",2043,203792
"Pitt County",2047,212625
"Polk County",2015,19687
"Polk County",2041,19659
"Randolph County",2010,141958
"Randolph County",2012,142217
"Richmond County",2031,40604
"Richmond County",2034,40026
"Richmond County",2039,39065
"Richmond County",2040,38874
"Richmond County",2044,38105
"Robeson County",2010,134066
"Robeson County",2027,118667
"Robeson County",2044,120702
"Robeson County",2050,120890
"Rockingham County",2017,90579
"Rockingham County",2028,92040
"Rockingham County",2030,92040
"Rockingham County",2031,92039
"Rockingham County",2043,92040
"Rockingham County",2047,92039
"Rowan County",2010,138417
"Rowan County",2014,140286
"Rowan County",2018,144771
"Rowan County",2024,151174
"Rowan County",2026,152593
"Rowan County",2042,165793
"Rowan County",2043,166614
"Rowan County",2046,169139
"Rowan County",2047,169973
"Rowan County",2048,170801
"Rutherford County",2010,67621
"Rutherford County",2025,64697
"Rutherford County",2030,65552
"Rutherford County",2032,65891
"Rutherford County",2050,68856
"Sampson County",2010,63406
"Sampson County",2011,63180
"Sampson County",2030,58862
"Sampson County",2033,58842
"Sampson County",2034,58839
"Sampson County",2038,58829
"Sampson County",2042,58824
"Scotland County",2013,35680
"Scotland County",2019,34517
"Scotland County",2025,32738
"Scotland County",2035,31456
"Scotland County",2040,30818
"Scotland County",2046,30056
"Scotland County",2047,29926
"Stanly County",2040,66309
"Stanly County",2043,66914
"Stanly County",2050,68322
"Stokes County",2012,46487
"Stokes County",2037,45834
"Stokes County",2047,45860
"Surry County",2012,72987
"Surry County",2013,72283
"Surry County",2014,72445
"Surry County",2016,71310
"Surry County",2018,71229
"Surry County",2025,71191
"Surry County",2026,71145
"Surry County",2033,70826
"Surry County",2034,70782
"Surry County",2049,70098
"Swain County",2020,14106
"Swain County",2025,14465
"Swain County",2029,14615
"Swain County",2046,15165
"Transylvania County",2014,32550
"Transylvania County",2019,33112
"Transylvania County",2024,33771
"Transylvania County",2033,35246
"Transylvania County",2042,36720
"Transylvania County",2050,38030
"Tyrrell County",2045,2532
"Tyrrell County",2047,2481
"Tyrrell County",2049,2434
"Union County",2010,202100
"Union County",2025,262980
"Union County",2037,336582
"Union County",2049,413002
"Vance County",2013,44035
"Vance County",2014,43721
"Vance County",2020,42587
"Vance County",2025,41544
"Vance County",2027,41388
"Vance County",2047,41172
"Vance County",2050,41171
"Wake County",2024,1213138
"Wake County",2026,1263294
"Wake County",2028,1314805
"Wake County",2037,1548172
"Wake County",2038,1574114
"Warren County",2012,20551
"Warren County",2013,20208
"Warren County",2023,18892
"Warren County",2030,18974
"Warren County",2034,19001
